geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,brewery,check_date:opening_hours,indoor_seating,name,opening_hours:signed,outdoor_seating,phone,smoking,toilets:wheelchair,website,wheelchair,email,min_age,name:ja,opening_hours,check_date,operator,addr:suburb,level,contact:phone,contact:website,description,start_date,internet_access,payment:cards,payment:credit_cards,payment:debit_cards,air_conditioning,entrance,contact:facebook,lgbtq,wheelchair:description,source,contact:email,live_music,wikidata,wikipedia,sport,note,karaoke,payment:cash,mapillary,payment:mastercard,payment:visa,winery,contact:fax,contact:twitter,historic,wikimedia_commons,building,facebook,instagram,toilets,fax,url,drink:beer,drink:cider,drink:guinness,internet_access:ssid,payment:others,old_name,disused:amenity,disused:name,cuisine,payment:coins,payment:notes,payment:shells,payment:girocard,service:phone,shop,drink:club-mate,phone:mobile,alt_name,contact:foursquare,contact:mobile,contact:myspace,contact:partyearth,contact:qype,contact:tripadvisor,contact:yelp,toilets:access,diet:vegetarian,contact:instagram,changing_table,toilets:disposal,toilets:handwashing,toilets:paper_supplied,toilets:position,cocktails,reservation,source:addr,name:ru,short_name,addr:floor,billiards,gambling,cruising,lgbtq:men,official_name,addr:housename,food,image,addr:place,internet_access:fee,payment:american_express,payment:contactless,payment:diners_club,payment:discover_card,payment:electronic_purses,payment:ep_geldkarte,payment:jcb,payment:maestro,payment:visa_debit,payment:visa_electron,darkroom,fetish:leather,fetish:rubber,lgbtq:cruising,nohousenumber,ref:vatin,identity,mode_of_organisation:self_managed,drink:wine,dog,wheelchair:description:de,wheelchair:description:en,billiards:pool,billiards:snooker,wheelchair:note,internet_access:operator,takeaway,payment:app,payment:cryptocurrencies,payment:qr_code,opening_hours:kitchen,contact:phone:description,diet:vegan,location,tourism,check_date:currency:XBT,currency:XBT,payment:lightning,payment:onchain,music,opening_hours:url,addr:city:fa,theme,wifi,opening,organic,payment:lightning_contactless,lgbtq:signed,lgbtq:women,fetish:jeans,fetish:skins,fetish:sneakers,fetish:uniform,male,lgbtq:gay,access,not:brand:wikidata,note:de,microbrewery,shisha,name:de,payment:account_cards,payment:alipay,payment:apple_pay,payment:bancomat,payment:blik,payment:cheque,payment:clipper,payment:dkv,payment:ep_easycard,payment:ep_ipass,payment:google_pay,payment:mastercard_contactless,payment:paypal,payment:prepaid_ticket,payment:telephone_cards,payment:unionpay,payment:uta,payment:v_pay,payment:wechat,opening_hours:covid19,operator:type,office,kitchen,name:en,contact:untappd,name:ar,fixme,survey:date,contact:telegram,age_group,website:menu,brand,contact:ra,post_office,post_office:brand,post_office:ref:deutsche_post,post_office:service_provider,post_office:website,building:levels,roof:levels,mobile,seamark:hulk:category,seamark:type,building:min_level,building:part,surveillance,roof:shape
POINT (13.2597133 52.4348935),,,,,,bar,,,,Casablanca,,,,,,,limited,,,,,,,,,+49 30 809 07286,,,,,,,,,main,https://www.facebook.com/Arkade-Berlin-433486116756636/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.de/biz/arkade-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2926578 52.4979205),Berlin,DE,110,10711,Kurfürstendamm,bar,,,,Atelier,,,+49 30 8925946,,,http://www.bar-atelier.de/,,info@bar-atelier.de,,,"Mo-Th 17:00-03:00, Fr,Sa 17:00-05:00, Su 18:00-03:00",,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4187906 52.5158643),Berlin,DE,75,10179,Holzmarktstraße,bar,,,,Rodi Cocktailbar,,,,,,http://www.cocktailbarrodi.de,,,,,,2023-09-29,,Mitte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3451068 52.5540937),Berlin,DE,121,13349,Müllerstraße,bar,,,,Lale,,,,,no,,limited,,,,Mo-Su 09:00-03:00,,,Wedding,0,,http://laleloungeberlin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 1634580390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.43204 52.5357255),Berlin,DE,191,10405,Greifswalder Straße,bar,,2023-05-08,yes,Caipi Bar,no,yes,,,,,no,,,,,2023-03-08,,Prenzlauer Berg,0,,,,2023-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3847097 52.5208236),Berlin,DE,11,10117,Schiffbauerdamm,bar,,,yes,Bar Tausend,,no,,,,http://www.tausendberlin.com/,limited,,,,Th-Sa 21:00-24:00+,,,Mitte,,+493041715396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3499961 52.5335484),Berlin,DE,44,10559,Rathenower Straße,bar,no,2023-04-21,yes,Zaffke,,yes,,,,,no,,,,"Tu-Th 20:00-02:00, Fr-Sa 20:00-03:00",,,Moabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.425143 52.481649),Berlin,DE,232,12049,Hermannstraße,bar,,,,O Tannenbaum,,yes,,,,,,,,,Tu-Su 18:30+; Sa 19:30+,,,Neukölln,,,,,,,,,,,,,,,,,,,,,Name und Öffnungszeiten stehen auf Zettel an der Tür,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.358201 52.5519644),Berlin,DE,33,13347,Liebenwalder Straße,bar,,2024-02-25,,Mastul,no,no,,,no,,no,,,,,,Mastul Kunst und Kulturverein e. V.,Wedding,,,http://www.mastul.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4611168 52.5504013),Berlin,DE,122,13088,Berliner Allee,bar,,2024-10-10,,Albert,no,,,,,,no,,,,,,,Weißensee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5054232 52.5109456),Berlin,,127A,,Alt-Friedrichsfelde,bar,,2020-11-16,yes,Cocktail Bar,,yes,,,,,no,,,,"Mo-Th 16:00-01:00, Fr,Sa,PH 16:00-04:00, Su 16:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4888557 52.4668466),Berlin,DE,11,12437,Baumschulenstraße,bar,,,yes,Sportsbar,,no,,no,,,no,,,,,,,Baumschulenweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4727613 52.5136642),Berlin,DE,98,10247,Frankfurter Allee,bar,,,yes,Moonlight,,yes,,,,,,,,,,,,Friedrichshain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3534365 52.4910645),,,7,,Goltzstraße,bar,,,yes,Salut!,,yes,+49 30 746 985 04,yes,,,no,,,,19:00+,,,,,,http://www.salut-berlin.de/,,,,,,,,,,,,,hallo@salut-berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4113498 52.5474089),,,25,,Gleimstraße,bar,,,yes,Treff 25,,yes,,,,,no,,,,,2023-01-14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3890236 52.528135),Berlin,DE,2,10115,Novalisstraße,bar,,,,Patesô,,,,,,,limited,,,,,,,Mitte,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3999603 52.5229828),Berlin,DE,1,10178,Monbijouplatz,bar,,,yes,Bijou Bar,,yes,,,,http://www.monbijouhotel.de,,,,,Mo-Su 19:00-02:00,2023-03-18,,Mitte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4360157 52.5562786),Berlin,DE,90,13086,Pistoriusstraße,bar,,,,Berliner-Pilsner-Stübchen,,,,,,,,,,,,,,Weißensee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4276444 52.4884157),,,,,,bar,,,,WeserKulisse,,,,,,http://www.kulisse-berlin.de,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4478077 52.4776533),Berlin,DE,166,12059,Sonnenallee,bar,,2024-09-17,,Profi Sportsbar,no,,,,,,no,,,,,,,Neukölln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,betting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4189492 52.5014913),Berlin,DE,31,10999,Oranienstraße,bar,,,yes,Kek Bar,,yes,,,,,no,,,,,2023-02-12,,Kreuzberg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3221536 52.4733246),Berlin,DE,,12161,Südwestkorso,bar,,2024-03-01,yes,Bar Südwest,no,yes,+49 30 82701300,,,,limited,,,,We-Mo 19:00-00:00+,,,Friedenau,,,,,,,,,,,,https://www.facebook.com/people/Cafe-Bar-S%C3%BCdwest/100057118884738/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3663544 52.5030829),,,,,,bar,,,,Kumpelnest 3000,no,,,yes,,http://kumpelnest3000.com/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3430245 52.4868332),Berlin,DE,18,10825,Wartburgstraße,bar,,,,Ajpnia,,,,,,https://www.ajpnia.berlin/,limited,,18,,We 19:00+; Sa 20:00+,,Ajpnia e.V.,Schöneberg,,+49 30 21918881,,,,,,,,,,,primary,,,vorstand@ajpnia.berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,primary,CDL bar lounge club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4380927 52.4824545),Berlin,DE,92,12045,Sonnenallee,bar,,,,Kindl Stuben,,,,,no,,limited,,,,Mo-Su 17:00+,,,Neukölln,,+49 30 12367770,https://www.kindlstuben.de,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kindl Stuben,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4120945 52.554228),Berlin,DE,7,10439,Bornholmer Straße,bar,,,,XXL Cruising-Club,,,,,,https://www.xxl-berlin.de/,no,,,,12:00-03:00,,,Prenzlauer Berg,,+49 30 32 898 222,,,,,,,,,,,primary,,,info@xxl-berlin.de,,,,,,,,,,,,+49 30 32 898 221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4136394 52.5511894),Berlin,DE,111,10439,Schönhauser Allee,bar,,,,Q62,,,,,,,limited,,,,,,,Prenzlauer Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4289064 52.4944211),,,,,,bar,,,,Schmetterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3913033 52.5251526),,,,,,bar,,,,Bar bOx,,,,,,,limited,,,,,2023-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4522737 52.5108811),Berlin,DE,65,10243,Warschauer Straße,bar,,2023-12-20,no,Nice2SeeU,no,yes,,yes,,,no,,,,,,,Friedrichshain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4169082 52.5454977),Berlin,DE,64,10437,Pappelallee,bar,,,,Becketts Kopf,,,+49 30 44035880,,,,limited,,,,We-Sa 20:00+,2022-09-26,,Prenzlauer Berg,,,https://becketts-kopf.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4711946 52.5289835),Berlin,,8,10369,Anton-Saefkow-Platz,bar,,,,Plötners Destille,,,,,,,yes,,,,"""nach Vereinbarung""",2023-04-09,,,,,http://www.p2-ploetners-destille.de/home.html,,,,,,,,,,,,Garmin Oregon 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,http://i.imgur.com/em3Qal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4700307 52.529183),Berlin,DE,11,10369,Anton-Saefkow-Platz,bar,,,yes,Coconut Cafe / Bar / Lounge,,yes,,separated,,,yes,,,,24/7,2023-04-09,,Fennpfuhl,,,,,,,,,,,,,,,Garmin Oregon 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coconut,,http://i.imgur.com/c5Mnwl.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.464978 52.5093544),Berlin,DE,34,10245,Krossener Straße,bar,,2024-04-29,yes,Cento Passi,,yes,,outside,,,no,,,,"Tu,We 18:00-01:00, Th-Sa 18:00-02:00",,,Friedrichshain,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4962055 52.5068439),,,,,,bar,,,yes,Emil's Bar,no,yes,,outside,no,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4269382 52.47843),Berlin,DE,,12053,Rollbergstraße,bar,,,,Hotelbar Rix,,,,,,,yes,,,,Mo-Su 17:00-01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4340793 52.4822599),,,2,,Fuldastraße,bar,,,,Café 28,,,,,,,no,,,,,2024-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café Happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3852793 52.5301264),Berlin,DE,117,10115,Invalidenstraße,bar,,,,Jazz Club Schlot,,,+49304482160,,,https://kunstfabrik-schlot.de/,no,,,,,,,Mitte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5684409 52.5713082),,,,,,bar,,,yes,Capone\'s Bar,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Garmin Oregon 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://i.imgur.com/c3Ls5l.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.398825 52.5222496),Berlin,DE,157/158,10178,,bar,,,,Palladium Berlin,,yes,+49 30 25765511,outside,,https://palladium.berlin,yes,,,,Mo-Su 10:00-23:00,,Good News Berlin GmbH,Mitte,0,+49 30 25765511,https://palladium.berlin,,2017-08-01,wlan,,yes,yes,,,,,,,info@palladium.berlin,,,,,,,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stadtbahnbogen,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5122301 52.4645019),Berlin,DE,,12459,,bar,,2023-09-19,,Pine Bar,no,,,,,,,,,,,,,Oberschöneweide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.38874 52.522644),,,,,,bar,,,yes,meisterschueler,,yes,,,,,limited,,,,"Mo-Su,PH 18:00-04:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
